1,1,26,6,1,0,0,0
1,1,15,8,0,0,0,0
1,1,24,8,1,0,0,0
1,1,23,9,1,0,0,0
1,1,18,7,1,0,0,0
0,1,2,1,0,0,0,0
1,1,25,7,1,0,0,0
1,1,10,1,0,0,0,0
1,1,22,10,1,0,0,0
1,1,5,2,0,0,0,0
1,0,10,4,0,0,0,0
1,1,16,1,0,0,0,0
1,1,8,1,0,0,0,0
1,1,18,7,1,0,0,0
1,1,21,11,1,0,0,0
1,1,14,1,0,0,0,0
0,1,1,1,0,0,0,0
1,1,17,1,1,0,0,0
1,1,8,2,0,0,0,0
1,1,1,4,0,0,0,0
1,1,23,9,1,0,0,0
0,1,4,1,0,0,0,0
1,0,12,10,0,0,0,0
1,1,17,8,1,0,0,0
1,1,13,1,0,0,0,0
1,1,20,12,1,0,0,0
0,1,1,1,0,0,0,0
1,1,17,1,1,0,0,0
1,1,26,6,1,0,0,0
1,1,21,11,1,0,0,0
1,0,16,8,0,0,0,0
1,1,4,2,0,0,0,0
1,0,20,6,0,0,1,0
1,1,15,8,0,0,0,0
1,1,23,9,1,0,0,0
1,0,8,1,0,0,0,0
1,1,17,8,1,0,0,0
1,1,16,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,27,5,1,0,0,0
1,1,16,8,0,0,0,0
1,1,4,2,0,0,0,0
1,1,24,8,1,0,0,0
1,1,19,13,1,0,0,0
1,1,15,8,0,0,0,0
1,1,23,9,1,0,0,0
1,1,13,1,0,0,0,0
1,1,16,8,0,0,0,0
1,0,7,2,0,0,0,0
1,1,9,1,0,0,0,0
1,1,15,8,0,0,0,0
1,1,18,7,1,0,0,0
1,1,19,13,1,0,0,0
1,1,11,10,0,0,0,0
1,1,16,8,0,0,0,0
1,1,3,4,0,0,0,0
1,1,16,8,0,0,0,0
1,1,9,1,0,0,0,0
1,1,10,1,0,0,0,0
1,1,25,7,1,0,0,0
1,1,14,2,0,0,0,0
0,1,2,1,0,0,0,0
1,1,17,1,1,0,0,0
1,1,16,8,0,0,0,0
1,1,20,12,1,0,0,0
0,1,3,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,25,7,1,0,0,0
1,1,21,11,1,0,0,0
1,1,17,15,1,0,0,0
1,1,22,1,1,0,0,0
1,1,17,1,1,0,0,0
1,1,13,10,0,0,0,0
1,1,21,11,1,0,0,0
1,1,17,3,1,0,0,0
1,1,27,5,1,0,0,0
1,1,4,2,0,0,0,0
1,1,19,13,1,0,0,0
1,1,17,8,1,0,0,0
1,1,11,3,0,0,0,0
1,1,19,13,1,0,0,0
1,0,11,2,0,0,0,0
1,0,15,8,0,0,0,0
1,1,16,8,0,0,0,0
1,1,23,9,1,0,0,0
1,1,5,1,0,0,0,0
1,1,18,1,1,0,0,0
1,1,16,8,0,0,0,0
1,1,23,9,1,0,0,0
1,1,27,5,1,0,0,0
1,1,20,12,1,0,0,0
1,1,9,1,0,0,0,0
1,1,10,1,0,0,0,0
1,1,22,10,1,0,0,0
1,1,10,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,19,3,1,0,0,0
0,0,1,1,0,0,0,0
1,1,26,6,1,0,0,0
1,1,4,1,0,0,0,0
1,1,11,1,0,0,0,0
0,1,2,1,0,0,0,0
1,1,14,9,0,0,0,0
1,1,19,1,1,0,0,0
1,1,17,15,1,0,0,0
1,1,20,12,1,0,0,0
1,0,8,1,0,0,0,0
1,1,20,6,1,0,0,0
1,1,18,14,1,0,0,0
1,1,20,12,1,0,0,0
1,1,20,12,1,0,0,0
1,1,3,1,0,0,0,0
1,0,13,2,0,0,0,0
1,1,15,8,0,0,0,0
1,1,18,7,1,0,0,0
1,0,12,10,0,0,0,0
1,1,19,1,1,0,0,0
0,1,5,4,0,0,0,0
1,0,18,3,0,0,1,0
1,0,15,8,0,0,0,0
1,1,2,6,0,0,0,0
1,1,11,2,0,0,0,0
1,1,22,10,1,0,0,0
1,0,15,8,0,0,0,0
1,1,8,1,0,0,0,0
1,1,16,8,0,0,0,0
1,0,18,2,0,0,1,0
1,1,20,12,1,0,0,0
1,1,16,8,0,0,0,0
1,0,3,2,0,0,0,0
1,1,11,1,0,0,0,0
1,1,9,1,0,0,0,0
1,1,11,1,0,0,0,0
1,1,22,10,1,0,0,0
1,1,11,2,0,0,0,0
1,1,14,9,0,0,0,0
1,1,16,8,0,0,0,0
1,1,4,1,0,0,0,0
1,1,19,13,1,0,0,0
1,1,3,1,0,0,0,0
1,1,17,8,1,0,0,0
0,1,8,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,6,2,0,0,0,0
1,1,11,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,8,2,0,0,0,0
1,1,25,7,1,0,0,0
1,0,10,4,0,0,0,0
1,0,4,2,0,0,0,0
1,1,21,1,1,0,0,0
1,1,20,12,1,0,0,0
1,1,4,2,0,0,0,0
1,1,14,2,0,0,0,0
1,1,17,15,1,0,0,0
1,1,21,11,1,0,0,0
1,1,16,1,0,0,0,0
1,1,20,1,1,0,0,0
1,1,17,15,1,0,0,0
1,1,3,1,0,0,0,0
1,1,19,13,1,0,0,0
1,1,24,8,1,0,0,0
1,0,19,6,0,0,1,0
1,0,15,1,0,0,0,0
1,1,19,1,1,0,0,0
1,1,14,1,0,0,0,0
1,1,15,8,0,0,0,0
1,1,20,12,1,0,0,0
1,1,9,1,0,0,0,0
1,1,10,4,0,0,0,0
1,1,21,11,1,0,0,0
1,1,20,12,1,0,0,0
1,1,21,11,1,0,0,0
1,1,3,1,0,0,0,0
1,1,18,7,1,0,0,0
1,1,6,1,0,0,0,0
1,1,8,2,0,0,0,0
1,0,10,2,0,0,0,0
1,1,18,1,1,0,0,0
1,1,18,7,1,0,0,0
1,1,24,8,1,0,0,0
1,1,4,1,0,0,0,0
1,0,9,2,0,0,0,0
1,1,16,8,0,0,0,0
1,1,15,8,0,0,0,0
1,1,10,1,0,0,0,0
1,1,25,7,1,0,0,0
1,1,20,12,1,0,0,0
1,1,8,2,0,0,0,0
1,1,21,11,1,0,0,0
1,0,18,3,0,0,1,0
1,1,12,1,0,0,0,0
1,1,14,1,0,0,0,0
1,1,18,14,1,0,0,0
1,1,10,1,0,0,0,0
1,1,6,2,0,0,0,0
1,0,20,3,0,0,1,0
1,0,8,3,0,0,0,0
1,1,13,1,0,0,0,0
1,1,23,9,1,0,0,0
1,1,20,12,1,0,0,0
1,1,20,12,1,0,0,0
1,1,20,1,1,0,0,0
1,1,20,12,1,0,0,0
1,1,24,8,1,0,0,0
1,1,16,8,0,0,0,0
1,0,17,8,0,0,1,0
1,0,12,10,0,0,0,0
1,1,26,2,1,0,0,0
1,1,13,10,0,0,0,0
1,1,17,15,1,0,0,0
1,0,18,7,0,0,1,0
1,0,12,2,0,0,0,0
1,1,6,2,0,0,0,0
1,1,20,12,1,0,0,0
1,1,24,8,1,0,0,0
1,1,18,1,1,0,0,0
1,1,18,14,1,0,0,0
1,1,16,8,0,0,0,0
1,1,21,11,1,0,0,0
1,1,27,5,1,0,0,0
1,1,19,13,1,0,0,0
1,1,9,1,0,0,0,0
1,1,23,9,1,0,0,0
1,1,21,6,1,0,0,0
1,1,4,1,0,0,0,0
1,1,11,1,0,0,0,0
1,1,19,13,1,0,0,0
1,1,25,7,1,0,0,0
1,1,22,10,1,0,0,0
1,1,11,4,0,0,0,0
1,1,27,5,1,0,0,0
1,1,10,1,0,0,0,0
1,1,21,11,1,0,0,0
1,1,20,12,1,0,0,0
1,1,16,8,0,0,0,0
1,0,11,1,0,0,0,0
1,1,25,7,1,0,0,0
1,0,4,2,0,0,0,0
1,1,22,10,1,0,0,0
1,1,14,1,0,0,0,0
1,1,12,1,0,0,0,0
1,1,18,14,1,0,0,0
0,1,1,1,0,0,0,0
1,1,21,11,1,0,0,0
0,1,8,1,0,0,0,0
1,1,3,7,0,0,0,0
1,1,15,8,0,0,0,0
1,1,27,5,1,0,0,0
1,1,25,7,1,0,0,0
1,1,12,1,0,0,0,0
1,1,9,2,0,0,0,0
1,1,22,10,1,0,0,0
1,1,7,2,0,0,0,0
0,1,8,1,0,0,0,0
1,1,8,2,0,0,0,0
0,1,4,1,0,0,0,0
1,1,14,3,0,0,0,0
1,0,1,2,0,0,0,0
1,1,4,2,0,0,0,0
1,1,9,4,0,0,0,0
1,1,12,1,0,0,0,0
1,1,24,8,1,0,0,0
1,1,7,2,0,0,0,0
1,1,11,1,0,0,0,0
1,1,21,11,1,0,0,0
1,1,13,10,0,0,0,0
1,1,12,10,0,0,0,0
1,1,18,14,1,0,0,0
1,1,16,8,0,0,0,0
1,1,17,3,1,0,0,0
1,1,24,8,1,0,0,0
1,1,13,4,0,0,0,0
1,1,20,12,1,0,0,0
1,0,3,1,0,0,0,0
1,1,27,5,1,0,0,0
1,1,15,8,0,0,0,0
1,1,25,7,1,0,0,0
1,0,22,5,0,0,1,0
1,1,8,2,0,0,0,0
1,1,12,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,20,12,1,0,0,0
1,1,22,10,1,0,0,0
1,1,16,1,0,0,0,0
1,1,3,2,0,0,0,0
1,0,8,1,0,0,0,0
1,1,8,2,0,0,0,0
1,1,6,1,0,0,0,0
1,1,20,12,1,0,0,0
1,0,11,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,3,10,0,0,0,0
1,1,9,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,1,2,0,0,0,0
1,0,10,1,0,0,0,0
1,1,22,10,1,0,0,0
1,1,26,6,1,0,0,0
1,1,13,10,0,0,0,0
1,1,18,14,1,0,0,0
1,1,5,1,0,0,0,0
1,1,15,8,0,0,0,0
1,1,21,11,1,0,0,0
1,1,18,2,1,0,0,0
0,1,2,1,0,0,0,0
1,1,10,1,0,0,0,0
1,1,10,1,0,0,0,0
1,1,22,10,1,0,0,0
1,1,18,14,1,0,0,0
1,1,13,1,0,0,0,0
1,1,13,10,0,0,0,0
1,1,15,1,0,0,0,0
1,1,17,15,1,0,0,0
1,1,12,1,0,0,0,0
1,1,21,1,1,0,0,0
1,1,25,7,1,0,0,0
1,1,18,14,1,0,0,0
0,1,3,1,0,0,0,0
1,1,27,5,1,0,0,0
1,1,17,8,1,0,0,0
1,1,22,10,1,0,0,0
1,1,22,1,1,0,0,0
1,1,15,8,0,0,0,0
1,1,20,12,1,0,0,0
1,1,20,12,1,0,0,0
1,1,20,12,1,0,0,0
1,1,14,1,0,0,0,0
1,1,16,8,0,0,0,0
1,0,20,6,0,0,1,0
1,1,15,1,0,0,0,0
1,1,24,8,1,0,0,0
1,1,24,8,1,0,0,0
1,1,5,1,0,0,0,0
1,1,23,9,1,0,0,0
1,1,16,8,0,0,0,0
1,1,17,15,1,0,0,0
1,1,5,1,0,0,0,0
1,1,11,1,0,0,0,0
1,1,26,6,1,0,0,0
1,1,23,9,1,0,0,0
1,0,15,8,0,0,0,0
1,1,24,8,1,0,0,0
1,1,5,2,0,0,0,0
1,0,13,10,0,0,0,0
1,1,15,8,0,0,0,0
1,1,12,1,0,0,0,0
1,1,6,1,0,0,0,0
1,0,14,3,0,0,0,0
1,1,10,1,0,0,0,0
1,1,3,2,0,0,0,0
1,0,25,2,0,0,1,0
0,1,2,1,0,0,0,0
1,1,24,8,1,0,0,0
1,1,19,13,1,0,0,0
1,1,10,4,0,0,0,0
1,1,3,7,0,0,0,0
1,1,24,8,1,0,0,0
1,1,3,7,0,0,0,0
1,1,12,1,0,0,0,0
1,1,14,1,0,0,0,0
1,1,18,14,1,0,0,0
1,1,18,14,1,0,0,0
1,1,8,2,0,0,0,0
1,1,24,8,1,0,0,0
1,1,12,10,0,0,0,0
0,1,8,1,0,0,0,0
1,1,14,1,0,0,0,0
1,0,9,2,0,0,0,0
1,1,11,2,0,0,0,0
0,1,8,1,0,0,0,0
1,1,20,6,1,0,0,0
1,1,25,7,1,0,0,0
1,1,16,1,0,0,0,0
0,1,2,1,0,0,0,0
0,0,2,2,0,0,0,0
1,1,15,1,0,0,0,0
0,1,4,1,0,0,0,0
1,1,14,1,0,0,0,0
1,1,13,10,0,0,0,0
1,0,5,2,0,0,0,0
1,1,26,6,1,0,0,0
1,1,12,1,0,0,0,0
0,0,4,2,0,0,0,0
1,1,6,1,0,0,0,0
1,1,16,8,0,0,0,0
1,0,12,1,0,0,0,0
1,1,20,12,1,0,0,0
1,1,10,2,0,0,0,0
1,1,20,12,1,0,0,0
1,1,11,10,0,0,0,0
1,0,17,1,0,0,1,0
1,1,22,10,1,0,0,0
0,0,1,1,0,0,0,0
1,0,7,2,0,0,0,0
1,1,9,1,0,0,0,0
1,0,12,10,0,0,0,0
1,1,22,1,1,0,0,0
1,1,25,7,1,0,0,0
1,1,20,12,1,0,0,0
1,1,20,12,1,0,0,0
1,1,16,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,16,8,0,0,0,0
1,1,5,2,0,0,0,0
1,1,26,6,1,0,0,0
1,1,20,1,1,0,0,0
1,1,7,1,0,0,0,0
1,1,17,15,1,0,0,0
1,1,15,1,0,0,0,0
1,0,8,1,0,0,0,0
1,0,3,2,0,0,0,0
1,1,20,6,1,0,0,0
1,0,13,1,0,0,0,0
1,0,7,2,0,0,0,0
1,1,7,1,0,0,0,0
1,0,20,2,0,0,1,0
1,0,8,1,0,0,0,0
1,1,17,8,1,0,0,0
1,0,15,8,0,0,0,0
0,1,8,1,0,0,0,0
1,1,4,1,0,0,0,0
1,0,16,2,0,0,0,0
1,1,13,10,0,0,0,0
0,1,8,1,0,0,0,0
1,1,15,8,0,0,0,0
1,1,20,12,1,0,0,0
1,1,11,1,0,0,0,0
1,1,20,12,1,0,0,0
1,1,24,8,1,0,0,0
1,1,6,2,0,0,0,0
1,1,11,1,0,0,0,0
1,1,19,13,1,0,0,0
1,1,14,9,0,0,0,0
1,0,9,2,0,0,0,0
1,0,15,8,0,0,0,0
1,1,7,3,0,0,0,0
1,1,16,8,0,0,0,0
1,1,19,13,1,0,0,0
1,1,8,1,0,0,0,0
1,1,22,10,1,0,0,0
0,1,3,1,0,0,0,0
1,1,23,9,1,0,0,0
1,1,8,2,0,0,0,0
1,1,17,1,1,0,0,0
1,1,13,10,0,0,0,0
1,1,15,8,0,0,0,0
1,1,20,12,1,0,0,0
1,1,18,7,1,0,0,0
1,1,14,9,0,0,0,0
1,0,15,8,0,0,0,0
1,1,10,1,0,0,0,0
1,1,17,15,1,0,0,0
1,1,16,8,0,0,0,0
1,1,22,10,1,0,0,0
1,1,7,1,0,0,0,0
1,1,3,1,0,0,0,0
1,0,3,1,0,0,0,0
1,1,18,14,1,0,0,0
1,1,20,12,1,0,0,0
1,1,19,13,1,0,0,0
1,1,16,8,0,0,0,0
0,1,1,1,0,0,0,0
1,1,25,7,1,0,0,0
1,1,16,8,0,0,0,0
1,1,20,1,1,0,0,0
1,1,19,13,1,0,0,0
1,1,16,1,0,0,0,0
1,1,20,12,1,0,0,0
0,1,2,1,0,0,0,0
1,1,10,1,0,0,0,0
1,1,12,1,0,0,0,0
1,0,8,2,0,0,0,0
1,1,11,7,0,0,0,0
1,1,16,8,0,0,0,0
1,1,24,8,1,0,0,0
1,0,6,1,0,0,0,0
1,1,20,12,1,0,0,0
1,1,5,1,0,0,0,0
1,1,24,8,1,0,0,0
1,1,11,1,0,0,0,0
1,1,11,1,0,0,0,0
1,1,18,14,1,0,0,0
1,1,26,6,1,0,0,0
1,1,17,8,1,0,0,0
1,1,16,8,0,0,0,0
1,1,14,1,0,0,0,0
1,1,5,2,0,0,0,0
1,1,16,8,0,0,0,0
1,1,20,12,1,0,0,0
1,1,10,1,0,0,0,0
1,0,19,1,0,0,1,0
1,1,20,12,1,0,0,0
1,1,15,8,0,0,0,0
1,1,8,2,0,0,0,0
1,1,14,1,0,0,0,0
1,1,19,1,1,0,0,0
1,1,19,13,1,0,0,0
1,1,18,14,1,0,0,0
1,1,12,10,0,0,0,0
1,1,12,1,0,0,0,0
0,1,8,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,21,11,1,0,0,0
1,1,14,2,0,0,0,0
1,1,10,1,0,0,0,0
1,1,15,8,0,0,0,0
1,1,23,9,1,0,0,0
0,1,8,1,0,0,0,0
1,1,25,7,1,0,0,0
1,1,10,1,0,0,0,0
1,1,12,2,0,0,0,0
1,1,20,12,1,0,0,0
1,1,17,15,1,0,0,0
1,1,10,1,0,0,0,0
1,0,6,2,0,0,0,0
1,1,10,1,0,0,0,0
0,1,2,2,0,0,0,0
1,0,17,3,0,0,1,0
1,1,20,12,1,0,0,0
1,1,18,1,1,0,0,0
1,1,19,13,1,0,0,0
1,1,15,8,0,0,0,0
1,0,10,1,0,0,0,0
0,1,2,1,0,0,0,0
1,1,17,15,1,0,0,0
1,1,27,5,1,0,0,0
1,1,18,1,1,0,0,0
1,1,26,6,1,0,0,0
1,1,4,2,0,0,0,0
1,1,19,6,1,0,0,0
1,1,10,1,0,0,0,0
1,1,15,8,0,0,0,0
1,0,18,7,0,0,1,0
1,1,16,8,0,0,0,0
1,0,5,1,0,0,0,0
1,1,19,13,1,0,0,0
1,1,24,8,1,0,0,0
1,1,15,3,0,0,0,0
1,0,16,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,14,4,0,0,0,0
1,1,24,8,1,0,0,0
1,1,25,7,1,0,0,0
1,0,11,2,0,0,0,0
1,1,18,14,1,0,0,0
1,1,21,6,1,0,0,0
1,0,2,2,0,0,0,0
1,1,10,1,0,0,0,0
1,1,4,2,0,0,0,0
0,1,10,1,0,0,0,0
1,1,19,6,1,0,0,0
1,0,3,1,0,0,0,0
1,0,7,3,0,0,0,0
1,1,18,7,1,0,0,0
1,1,18,14,1,0,0,0
1,1,14,9,0,0,0,0
1,0,2,2,0,0,0,0
1,1,17,1,1,0,0,0
1,1,17,1,1,0,0,0
1,0,17,1,0,0,1,0
1,1,15,8,0,0,0,0
1,0,6,2,0,0,0,0
0,1,5,4,0,0,0,0
1,0,16,8,0,0,0,0
1,1,6,4,0,0,0,0
1,1,11,1,0,0,0,0
1,1,19,13,1,0,0,0
1,1,22,1,1,0,0,0
1,1,25,7,1,0,0,0
1,0,20,1,0,0,1,0
1,1,17,1,1,0,0,0
1,1,13,1,0,0,0,0
0,1,4,4,0,0,0,0
1,1,10,1,0,0,0,0
0,1,8,1,0,0,0,0
1,1,20,12,1,0,0,0
1,1,19,13,1,0,0,0
1,1,18,7,1,0,0,0
1,1,17,15,1,0,0,0
1,1,20,12,1,0,0,0
0,1,4,1,0,0,0,0
1,0,19,1,0,0,1,0
1,1,19,13,1,0,0,0
1,1,15,8,0,0,0,0
1,1,10,1,0,0,0,0
1,1,19,6,1,0,0,0
1,1,17,15,1,0,0,0
1,1,18,1,1,0,0,0
1,1,13,4,0,0,0,0
1,1,22,10,1,0,0,0
0,1,8,1,0,0,0,0
1,1,17,1,1,0,0,0
1,1,17,8,1,0,0,0
1,1,16,3,0,0,0,0
1,1,22,10,1,0,0,0
1,1,19,13,1,0,0,0
1,1,17,15,1,0,0,0
1,1,25,7,1,0,0,0
1,1,21,11,1,0,0,0
1,1,10,1,0,0,0,0
1,1,20,3,1,0,0,0
1,0,8,2,0,0,0,0
1,1,17,15,1,0,0,0
1,1,22,10,1,0,0,0
1,1,18,14,1,0,0,0
1,1,27,5,1,0,0,0
1,1,9,1,0,0,0,0
1,1,11,1,0,0,0,0
1,1,15,8,0,0,0,0
1,1,21,11,1,0,0,0
1,1,21,6,1,0,0,0
1,1,24,8,1,0,0,0
1,1,1,5,0,0,0,0
1,1,16,8,0,0,0,0
1,1,26,6,1,0,0,0
1,0,12,2,0,0,0,0
1,1,3,7,0,0,0,0
1,0,5,2,0,0,0,0
1,1,17,1,1,0,0,0
1,1,25,7,1,0,0,0
1,1,20,12,1,0,0,0
1,1,19,13,1,0,0,0
1,1,13,3,0,0,0,0
1,1,7,2,0,0,0,0
1,0,13,1,0,0,0,0
1,0,14,3,0,0,0,0
1,1,11,1,0,0,0,0
1,1,16,1,0,0,0,0
1,1,12,1,0,0,0,0
1,1,23,9,1,0,0,0
1,1,18,7,1,0,0,0
1,1,6,2,0,0,0,0
1,1,21,11,1,0,0,0
0,1,1,1,0,0,0,0
1,1,22,10,1,0,0,0
1,1,16,8,0,0,0,0
1,1,27,5,1,0,0,0
1,1,12,1,0,0,0,0
1,1,8,1,0,0,0,0
1,0,16,8,0,0,0,0
1,0,18,1,0,0,1,0
1,1,17,1,1,0,0,0
0,0,1,1,0,0,0,0
0,0,2,1,0,0,0,0
1,1,18,14,1,0,0,0
1,1,20,6,1,0,0,0
1,0,16,3,0,0,0,0
1,1,26,6,1,0,0,0
1,0,14,1,0,0,0,0
1,1,22,10,1,0,0,0
1,0,2,2,0,0,0,0
1,1,10,1,0,0,0,0
1,0,14,9,0,0,0,0
1,1,25,7,1,0,0,0
1,1,5,2,0,0,0,0
1,1,16,8,0,0,0,0
1,1,18,14,1,0,0,0
1,1,18,14,1,0,0,0
1,1,19,6,1,0,0,0
1,1,9,2,0,0,0,0
1,1,6,1,0,0,0,0
1,0,10,1,0,0,0,0
1,1,12,1,0,0,0,0
1,1,17,15,1,0,0,0
1,1,18,14,1,0,0,0
1,0,17,1,0,0,1,0
1,1,5,2,0,0,0,0
1,1,22,10,1,0,0,0
1,1,12,10,0,0,0,0
1,1,16,8,0,0,0,0
0,1,4,1,0,0,0,0
1,0,20,1,0,0,1,0
1,1,20,12,1,0,0,0
1,1,19,4,1,0,0,0
1,1,13,1,0,0,0,0
1,0,10,1,0,0,0,0
1,1,15,8,0,0,0,0
1,1,17,15,1,0,0,0
1,1,1,10,0,0,0,0
1,1,18,7,1,0,0,0
0,1,8,1,0,0,0,0
1,1,22,10,1,0,0,0
1,1,21,6,1,0,0,0
1,1,20,12,1,0,0,0
1,1,16,8,0,0,0,0
1,1,10,1,0,0,0,0
1,1,16,8,0,0,0,0
1,1,20,12,1,0,0,0
1,1,26,6,1,0,0,0
1,0,14,9,0,0,0,0
1,1,25,7,1,0,0,0
1,1,10,7,0,0,0,0
1,0,16,8,0,0,0,0
1,1,2,8,0,0,0,0
1,1,20,1,1,0,0,0
1,1,16,8,0,0,0,0
1,1,23,9,1,0,0,0
1,0,19,3,0,0,1,0
1,1,17,15,1,0,0,0
1,1,24,8,1,0,0,0
1,1,20,6,1,0,0,0
1,1,17,15,1,0,0,0
1,1,14,1,0,0,0,0
1,1,14,1,0,0,0,0
1,1,14,1,0,0,0,0
1,1,11,2,0,0,0,0
1,1,17,8,1,0,0,0
1,1,24,8,1,0,0,0
1,0,17,8,0,0,1,0
1,0,6,1,0,0,0,0
1,1,18,14,1,0,0,0
1,1,10,1,0,0,0,0
1,0,20,3,0,0,1,0
1,1,23,9,1,0,0,0
1,1,20,12,1,0,0,0
1,0,13,1,0,0,0,0
1,1,10,4,0,0,0,0
0,1,6,1,0,0,0,0
1,1,17,8,1,0,0,0
1,1,5,2,0,0,0,0
1,0,13,1,0,0,0,0
1,1,15,8,0,0,0,0
1,1,17,15,1,0,0,0
1,1,16,1,0,0,0,0
1,1,24,8,1,0,0,0
1,1,8,2,0,0,0,0
1,1,27,5,1,0,0,0
1,1,20,12,1,0,0,0
1,1,6,2,0,0,0,0
0,1,4,1,0,0,0,0
1,1,18,1,1,0,0,0
1,1,16,1,0,0,0,0
1,1,23,9,1,0,0,0
1,1,10,1,0,0,0,0
1,1,25,7,1,0,0,0
1,1,26,6,1,0,0,0
1,1,12,10,0,0,0,0
1,1,16,8,0,0,0,0
1,1,14,9,0,0,0,0
1,1,20,12,1,0,0,0
1,1,18,14,1,0,0,0
1,1,22,10,1,0,0,0
1,1,17,1,1,0,0,0
1,1,17,8,1,0,0,0
1,0,14,1,0,0,0,0
1,1,10,1,0,0,0,0
1,1,17,15,1,0,0,0
0,1,2,1,0,0,0,0
1,1,4,1,0,0,0,0
1,1,21,11,1,0,0,0
1,1,12,1,0,0,0,0
1,1,1,2,0,0,0,0
